pr,tas,year,month,country
3.44567,24.906,1991,1,GIN
6.67371,26.7025,1991,2,GIN
22.9677,28.0834,1991,3,GIN
52.4397,28.2408,1991,4,GIN
102.092,27.5423,1991,5,GIN
217.279,26.7843,1991,6,GIN
328.333,24.8923,1991,7,GIN
370.108,24.4452,1991,8,GIN
224.517,25.035,1991,9,GIN
208.288,24.5434,1991,10,GIN
13.3379,25.4675,1991,11,GIN
6.8411,24.7188,1991,12,GIN
4.5185,23.8676,1992,1,GIN
10.1161,26.9672,1992,2,GIN
11.7793,27.8799,1992,3,GIN
49.5773,28.7786,1992,4,GIN
144.161,27.2536,1992,5,GIN
223.147,25.5896,1992,6,GIN
324.957,24.4151,1992,7,GIN
342.682,24.2019,1992,8,GIN
283.526,24.7083,1992,9,GIN
142.506,25.393,1992,10,GIN
43.4844,24.7807,1992,11,GIN
3.8098,24.4851,1992,12,GIN
0.17541,24.4809,1993,1,GIN
12.1712,26.7497,1993,2,GIN
36.9003,27.8786,1993,3,GIN
63.306,28.3013,1993,4,GIN
103.252,28.2588,1993,5,GIN
219.524,25.8901,1993,6,GIN
330.816,24.9151,1993,7,GIN
298.761,24.6111,1993,8,GIN
270.456,24.9059,1993,9,GIN
167.703,25.6644,1993,10,GIN
54.3863,25.8618,1993,11,GIN
0.50178,23.1548,1993,12,GIN
0.9955,23.7265,1994,1,GIN
13.9061,25.9993,1994,2,GIN
22.8496,28.0936,1994,3,GIN
48.8166,28.5004,1994,4,GIN
154.479,27.7415,1994,5,GIN
239.453,25.8171,1994,6,GIN
311.1,24.7465,1994,7,GIN
408.088,24.2177,1994,8,GIN
406.421,24.6286,1994,9,GIN
267.416,24.8706,1994,10,GIN
67.1182,24.7982,1994,11,GIN
0.59609,23.6707,1994,12,GIN
0.00486,23.3058,1995,1,GIN
3.58999,26.0431,1995,2,GIN
45.0048,28.4652,1995,3,GIN
68.8045,28.6186,1995,4,GIN
116.66,27.8176,1995,5,GIN
160.318,26.5334,1995,6,GIN
286.425,25.0698,1995,7,GIN
478.509,24.6238,1995,8,GIN
317.533,25.0202,1995,9,GIN
186.937,25.4406,1995,10,GIN
21.4587,25.2274,1995,11,GIN
11.0389,24.5866,1995,12,GIN
11.6797,25.6199,1996,1,GIN
11.0557,27.3157,1996,2,GIN
28.0108,27.8626,1996,3,GIN
70.5104,28.5748,1996,4,GIN
143.071,28.0535,1996,5,GIN
205.194,26.1165,1996,6,GIN
294.203,25.2909,1996,7,GIN
374.047,24.5173,1996,8,GIN
361.124,24.9956,1996,9,GIN
174.566,25.3206,1996,10,GIN
9.58428,24.9724,1996,11,GIN
8.76149,24.7566,1996,12,GIN
13.0196,25.5757,1997,1,GIN
0.80989,26.3024,1997,2,GIN
8.4233,27.9762,1997,3,GIN
66.0506,28.3136,1997,4,GIN
150.419,27.5756,1997,5,GIN
235.716,25.4206,1997,6,GIN
261.087,25.1654,1997,7,GIN
399.283,24.8125,1997,8,GIN
347.695,25.2589,1997,9,GIN
163.299,26.0955,1997,10,GIN
35.7327,25.9943,1997,11,GIN
3.24875,24.0909,1997,12,GIN
2.019,24.8914,1998,1,GIN
4.89211,28.287,1998,2,GIN
6.7002,29.6753,1998,3,GIN
55.2933,29.8205,1998,4,GIN
85.3785,28.7179,1998,5,GIN
193.447,26.9037,1998,6,GIN
351.721,25.6119,1998,7,GIN
502.884,24.6227,1998,8,GIN
383.581,25.1189,1998,9,GIN
143.173,25.9801,1998,10,GIN
14.6639,25.779,1998,11,GIN
6.00516,24.6099,1998,12,GIN
6.20089,25.145,1999,1,GIN
9.78019,25.9113,1999,2,GIN
19.9601,28.2663,1999,3,GIN
40.7539,28.501,1999,4,GIN
102.762,28.1259,1999,5,GIN
191.745,26.1176,1999,6,GIN
324.851,24.9156,1999,7,GIN
394.157,24.6892,1999,8,GIN
300.981,25.0254,1999,9,GIN
309.373,25.0724,1999,10,GIN
43.5766,25.9661,1999,11,GIN
0.82818,24.4553,1999,12,GIN
1.55794,25.8204,2000,1,GIN
2.88193,25.7567,2000,2,GIN
14.253,28.1217,2000,3,GIN
54.5818,29.2204,2000,4,GIN
126.988,28.0611,2000,5,GIN
229.045,25.818,2000,6,GIN
361.501,24.7573,2000,7,GIN
366.146,24.6577,2000,8,GIN
225.024,24.9145,2000,9,GIN
272.493,25.3062,2000,10,GIN
29.0504,25.2561,2000,11,GIN
2.74982,24.0944,2000,12,GIN
1.37318,24.4929,2001,1,GIN
1.11841,26.6564,2001,2,GIN
14.0736,28.508,2001,3,GIN
33.1289,29.1363,2001,4,GIN
109.409,28.3828,2001,5,GIN
243.084,25.7315,2001,6,GIN
338.894,24.7596,2001,7,GIN
320.735,24.8182,2001,8,GIN
273.239,25.0208,2001,9,GIN
134.426,26.1624,2001,10,GIN
53.433,25.9648,2001,11,GIN
4.77247,24.6479,2001,12,GIN
14.3885,24.9445,2002,1,GIN
8.41972,27.0789,2002,2,GIN
26.3648,27.0521,2002,3,GIN
52.2128,28.6264,2002,4,GIN
100.308,28.7441,2002,5,GIN
207.845,26.2884,2002,6,GIN
322.164,25.4166,2002,7,GIN
337.474,24.8835,2002,8,GIN
283.943,25.4304,2002,9,GIN
177.594,25.4484,2002,10,GIN
19.9708,25.3515,2002,11,GIN
1.15569,25.0001,2002,12,GIN
1.39297,24.6892,2003,1,GIN
34.1803,27.2639,2003,2,GIN
12.7473,29.1837,2003,3,GIN
83.9935,29.3511,2003,4,GIN
89.3636,28.8392,2003,5,GIN
241.016,26.0585,2003,6,GIN
266.472,24.8374,2003,7,GIN
396.571,24.4899,2003,8,GIN
421.412,24.7117,2003,9,GIN
178.47,26.277,2003,10,GIN
61.6909,25.7233,2003,11,GIN
3.90679,24.8044,2003,12,GIN
1.08176,24.9471,2004,1,GIN
6.18738,27.0822,2004,2,GIN
31.5855,28.3103,2004,3,GIN
68.2619,29.2291,2004,4,GIN
118.134,28.4739,2004,5,GIN
213.521,25.5579,2004,6,GIN
398.709,25.2546,2004,7,GIN
354.565,24.8143,2004,8,GIN
301.123,25.3375,2004,9,GIN
136.776,26.3402,2004,10,GIN
88.6818,26.0475,2004,11,GIN
6.78038,26.9624,2004,12,GIN
2.54788,26.0583,2005,1,GIN
5.01237,27.4037,2005,2,GIN
32.0809,29.1817,2005,3,GIN
58.7572,28.8078,2005,4,GIN
119.098,27.9182,2005,5,GIN
216.302,26.9553,2005,6,GIN
262.844,24.9951,2005,7,GIN
392.573,24.5687,2005,8,GIN
332.382,25.531,2005,9,GIN
188.345,25.8952,2005,10,GIN
22.9779,26.1728,2005,11,GIN
5.93366,25.6111,2005,12,GIN
2.55614,25.1272,2006,1,GIN
5.74698,26.9382,2006,2,GIN
18.871,28.5981,2006,3,GIN
25.4317,28.8154,2006,4,GIN
209.159,27.3187,2006,5,GIN
227.021,26.3888,2006,6,GIN
236.799,25.7238,2006,7,GIN
386.379,24.844,2006,8,GIN
338.414,25.2733,2006,9,GIN
171.617,25.5459,2006,10,GIN
20.7126,26.0919,2006,11,GIN
4.99329,24.383,2006,12,GIN
2.27922,25.1849,2007,1,GIN
6.027,27.2742,2007,2,GIN
25.6331,28.9721,2007,3,GIN
57.2202,28.8055,2007,4,GIN
103.762,28.5605,2007,5,GIN
110.126,26.6424,2007,6,GIN
271.179,24.9177,2007,7,GIN
432.007,24.3266,2007,8,GIN
298.393,24.7037,2007,9,GIN
115.907,25.6728,2007,10,GIN
48.4969,25.8349,2007,11,GIN
3.89575,24.7667,2007,12,GIN
1.49334,23.8542,2008,1,GIN
5.64202,27.1416,2008,2,GIN
36.3149,28.4487,2008,3,GIN
80.1031,28.316,2008,4,GIN
153.717,28.1646,2008,5,GIN
197.045,25.7705,2008,6,GIN
338.17,24.6893,2008,7,GIN
405.744,23.9452,2008,8,GIN
290.484,24.9882,2008,9,GIN
239.412,24.8349,2008,10,GIN
14.6635,25.7509,2008,11,GIN
9.38095,24.3719,2008,12,GIN
1.39297,23.8811,2009,1,GIN
5.70081,27.1371,2009,2,GIN
22.3756,28.7332,2009,3,GIN
42.4125,28.9445,2009,4,GIN
120.636,27.812,2009,5,GIN
161.324,26.3035,2009,6,GIN
248.867,25.2743,2009,7,GIN
417.934,24.4776,2009,8,GIN
394.002,25.0311,2009,9,GIN
146.847,25.5654,2009,10,GIN
17.7536,25.5278,2009,11,GIN
2.95253,24.6176,2009,12,GIN
1.47826,25.4946,2010,1,GIN
9.68956,28.0104,2010,2,GIN
28.8336,29.7637,2010,3,GIN
136.321,29.613,2010,4,GIN
217.667,28.6473,2010,5,GIN
236.326,26.1137,2010,6,GIN
346.831,25.0064,2010,7,GIN
359.355,24.6719,2010,8,GIN
406.422,24.6503,2010,9,GIN
191.794,25.6724,2010,10,GIN
37.5691,25.8786,2010,11,GIN
3.5046,24.6593,2010,12,GIN
1.352,24.9223,2011,1,GIN
4.55987,26.4529,2011,2,GIN
35.1898,28.7544,2011,3,GIN
43.1827,28.9234,2011,4,GIN
87.1222,28.2132,2011,5,GIN
190.953,26.1457,2011,6,GIN
330.934,25.3245,2011,7,GIN
474.055,24.5653,2011,8,GIN
293.173,25.2076,2011,9,GIN
131.226,25.833,2011,10,GIN
48.8646,25.7691,2011,11,GIN
5.35035,24.3427,2011,12,GIN
1.31425,25.0198,2012,1,GIN
5.23455,26.2476,2012,2,GIN
10.9869,28.5391,2012,3,GIN
79.3765,28.4458,2012,4,GIN
135.294,27.4751,2012,5,GIN
236.217,26.1045,2012,6,GIN
310.492,25.0018,2012,7,GIN
359.959,24.4589,2012,8,GIN
343.717,25.1141,2012,9,GIN
177.842,26.0128,2012,10,GIN
31.1868,26.7202,2012,11,GIN
4.99329,24.1143,2012,12,GIN
2.34269,24.3859,2013,1,GIN
9.51153,27.505,2013,2,GIN
23.0866,29.3341,2013,3,GIN
77.697,28.8339,2013,4,GIN
98.8651,28.2877,2013,5,GIN
173.811,26.6407,2013,6,GIN
271.412,25.2553,2013,7,GIN
460.96,24.2276,2013,8,GIN
365.205,25.0907,2013,9,GIN
190.295,25.1777,2013,10,GIN
60.2554,25.4545,2013,11,GIN
7.00859,24.3682,2013,12,GIN
1.77887,24.9311,2014,1,GIN
5.45453,26.2333,2014,2,GIN
11.8474,27.7458,2014,3,GIN
31.3919,29.1296,2014,4,GIN
364.423,28.0914,2014,5,GIN
194.852,26.687,2014,6,GIN
225.402,26.0096,2014,7,GIN
344.082,24.4515,2014,8,GIN
352.727,24.8893,2014,9,GIN
153.287,26.06,2014,10,GIN
28.4831,25.8465,2014,11,GIN
2.85395,24.7666,2014,12,GIN
0.86222,24.6927,2015,1,GIN
7.97855,27.0401,2015,2,GIN
9.74022,28.3215,2015,3,GIN
61.8131,28.9834,2015,4,GIN
80.6687,29.2197,2015,5,GIN
163.227,27.1841,2015,6,GIN
281.568,25.5655,2015,7,GIN
608.385,25.2623,2015,8,GIN
297.224,26.4315,2015,9,GIN
293.895,25.8051,2015,10,GIN
21.0452,25.9559,2015,11,GIN
2.51985,23.4696,2015,12,GIN
89.9468,18.758,1991,1,RWA
116.775,19.6868,1991,2,RWA
133.483,20.0648,1991,3,RWA
159.844,19.2285,1991,4,RWA
156.446,19.3845,1991,5,RWA
56.796,19.4461,1991,6,RWA
25.3732,18.7534,1991,7,RWA
41.9222,19.1207,1991,8,RWA
59.6996,19.5632,1991,9,RWA
161.619,19.8606,1991,10,RWA
107.721,18.8336,1991,11,RWA
89.2806,19.1698,1991,12,RWA
71.3849,19.6577,1992,1,RWA
80.3828,20.1781,1992,2,RWA
117.872,20.1482,1992,3,RWA
145.735,19.6346,1992,4,RWA
122.92,19.0577,1992,5,RWA
55.7198,19.1086,1992,6,RWA
8.69752,18.7629,1992,7,RWA
15.9832,18.6887,1992,8,RWA
97.3843,19.5581,1992,9,RWA
144.156,19.8636,1992,10,RWA
132.492,18.7121,1992,11,RWA
114.693,18.9411,1992,12,RWA
133.367,18.3513,1993,1,RWA
86.8183,17.994,1993,2,RWA
133.056,19.2874,1993,3,RWA
132.037,19.1584,1993,4,RWA
148.137,18.9784,1993,5,RWA
40.6326,19.411,1993,6,RWA
0.68088,18.8268,1993,7,RWA
67.1853,20.898,1993,8,RWA
39.0972,19.2259,1993,9,RWA
65.5487,19.1729,1993,10,RWA
126.81,21.173,1993,11,RWA
117.857,19.6191,1993,12,RWA
124.322,18.1337,1994,1,RWA
81.0759,19.491,1994,2,RWA
183.914,18.8552,1994,3,RWA
165.588,19.1402,1994,4,RWA
129.78,19.7057,1994,5,RWA
25.0256,19.0312,1994,6,RWA
8.07719,18.0232,1994,7,RWA
41.1137,19.78,1994,8,RWA
85.1463,19.795,1994,9,RWA
118.901,19.8167,1994,10,RWA
183.167,19.5777,1994,11,RWA
139.574,19.2216,1994,12,RWA
83.3222,18.9876,1995,1,RWA
85.7247,19.5672,1995,2,RWA
144.215,19.6973,1995,3,RWA
166.393,20.2399,1995,4,RWA
136.872,19.5037,1995,5,RWA
77.6149,19.5331,1995,6,RWA
14.553,19.1238,1995,7,RWA
3.9251,21.3034,1995,8,RWA
76.8124,19.6374,1995,9,RWA
135.234,20.153,1995,10,RWA
138.464,21.1439,1995,11,RWA
97.2305,19.7898,1995,12,RWA
103.421,19.8145,1996,1,RWA
106.576,20.0689,1996,2,RWA
141.568,19.1685,1996,3,RWA
124.272,19.3851,1996,4,RWA
67.7114,19.2056,1996,5,RWA
49.8244,19.1484,1996,6,RWA
28.6697,19.5718,1996,7,RWA
68.2098,19.7689,1996,8,RWA
92.6474,19.9948,1996,9,RWA
94.4232,19.9363,1996,10,RWA
127.375,19.07,1996,11,RWA
94.84,19.8371,1996,12,RWA
218.886,20.158,1997,1,RWA
19.4455,19.9143,1997,2,RWA
95.2216,19.3754,1997,3,RWA
184.078,19.9206,1997,4,RWA
116.823,20.186,1997,5,RWA
33.7971,19.5164,1997,6,RWA
17.1068,19.4803,1997,7,RWA
29.0655,19.461,1997,8,RWA
26.4715,20.4109,1997,9,RWA
195.751,19.9483,1997,10,RWA
181.142,19.815,1997,11,RWA
155.759,19.8022,1997,12,RWA
170.897,19.9464,1998,1,RWA
145.166,20.5313,1998,2,RWA
180.14,19.8176,1998,3,RWA
140.525,19.1454,1998,4,RWA
142.094,19.6737,1998,5,RWA
28.8747,19.4237,1998,6,RWA
7.42504,19.6082,1998,7,RWA
15.7659,19.3486,1998,8,RWA
94.8155,19.6338,1998,9,RWA
145.454,19.6911,1998,10,RWA
120.536,20.4753,1998,11,RWA
100.523,19.7261,1998,12,RWA
144.932,19.5626,1999,1,RWA
18.8987,20.6311,1999,2,RWA
177.191,19.5528,1999,3,RWA
107.342,19.5684,1999,4,RWA
56.9268,19.0535,1999,5,RWA
1.94187,19.8053,1999,6,RWA
0.98817,19.0074,1999,7,RWA
106.332,19.7651,1999,8,RWA
75.0827,19.7302,1999,9,RWA
111.888,19.0658,1999,10,RWA
175.324,19.2119,1999,11,RWA
118.315,19.3944,1999,12,RWA
74.3311,20.0104,2000,1,RWA
62.6297,20.0226,2000,2,RWA
176.009,19.7804,2000,3,RWA
119,20.2662,2000,4,RWA
111.73,20.2681,2000,5,RWA
9.94954,19.2026,2000,6,RWA
