Country of residence,Origin,YearMonth,Values
Belgium,Cabo Verde,1999.8333333333333,1
France,Cabo Verde,1999.25,1
France,Cabo Verde,1999.4166666666667,1
Germany,Cabo Verde,1999.5833333333333,1
Germany,Cabo Verde,1999.9166666666667,1
Netherlands,Cabo Verde,1999.25,1
Netherlands,Cabo Verde,1999.4166666666667,1
Netherlands,Cabo Verde,1999.8333333333333,1
USA (EOIR),Cabo Verde,1999.8333333333333,1
France,Cabo Verde,2000.0,1
France,Cabo Verde,2000.1666666666667,1
France,Cabo Verde,2000.75,2
USA (EOIR),Cabo Verde,2000.3333333333333,2
USA (EOIR),Cabo Verde,2000.4166666666667,2
USA (EOIR),Cabo Verde,2000.5,1
USA (EOIR),Cabo Verde,2000.5833333333333,1
USA (EOIR),Cabo Verde,2000.75,1
France,Cabo Verde,2001.1666666666667,1
France,Cabo Verde,2001.25,1
France,Cabo Verde,2001.3333333333333,1
France,Cabo Verde,2001.4166666666667,2
France,Cabo Verde,2001.5,3
France,Cabo Verde,2001.6666666666667,1
Poland,Cabo Verde,2001.4166666666667,1
USA (EOIR),Cabo Verde,2001.0,1
USA (EOIR),Cabo Verde,2001.3333333333333,1
USA (EOIR),Cabo Verde,2001.8333333333333,1
France,Cabo Verde,2002.4166666666667,1
France,Cabo Verde,2002.5,1
Sweden,Cabo Verde,2002.5833333333333,1
USA (EOIR),Cabo Verde,2002.25,2
USA (EOIR),Cabo Verde,2002.9166666666667,1
Austria,Cabo Verde,2003.1666666666667,1
Austria,Cabo Verde,2003.5,1
Canada,Cabo Verde,2003.0833333333333,1
France,Cabo Verde,2003.9166666666667,3
Germany,Cabo Verde,2003.75,1
Luxembourg,Cabo Verde,2003.25,1
Norway,Cabo Verde,2003.6666666666667,4
Switzerland,Cabo Verde,2003.5,1
Austria,Cabo Verde,2004.25,1
France,Cabo Verde,2004.0833333333333,1
France,Cabo Verde,2004.1666666666667,3
France,Cabo Verde,2004.3333333333333,1
France,Cabo Verde,2004.5,2
France,Cabo Verde,2004.5833333333333,2
France,Cabo Verde,2004.6666666666667,1
France,Cabo Verde,2004.8333333333333,1
Germany,Cabo Verde,2004.3333333333333,1
Germany,Cabo Verde,2004.8333333333333,1
Poland,Cabo Verde,2004.25,2
Spain,Cabo Verde,2004.6666666666667,1
Sweden,Cabo Verde,2004.8333333333333,1
United Kingdom of Great Britain and Northern Ireland,Cabo Verde,2004.4166666666667,4
USA (EOIR),Cabo Verde,2004.25,1
USA (EOIR),Cabo Verde,2004.5,2
France,Cabo Verde,2005.0,4
France,Cabo Verde,2005.0833333333333,2
France,Cabo Verde,2005.1666666666667,4
France,Cabo Verde,2005.25,1
France,Cabo Verde,2005.3333333333333,2
France,Cabo Verde,2005.5,1
Switzerland,Cabo Verde,2005.6666666666667,1
USA (EOIR),Cabo Verde,2005.0,1
USA (EOIR),Cabo Verde,2005.3333333333333,1
USA (INS/DHS),Cabo Verde,2005.1666666666667,1
USA (INS/DHS),Cabo Verde,2005.3333333333333,1
USA (INS/DHS),Cabo Verde,2005.75,1
Netherlands,Cabo Verde,2006.0833333333333,1
USA (EOIR),Cabo Verde,2006.1666666666667,1
USA (EOIR),Cabo Verde,2006.5,1
Netherlands,Cabo Verde,2007.9166666666667,1
Switzerland,Cabo Verde,2007.75,1
USA (EOIR),Cabo Verde,2007.3333333333333,2
Belgium,Cabo Verde,2008.25,1
Canada,Cabo Verde,2008.25,1
Italy,Cabo Verde,2008.0833333333333,2
Italy,Cabo Verde,2008.1666666666667,2
Poland,Cabo Verde,2008.25,2
Spain,Cabo Verde,2008.0,1
Switzerland,Cabo Verde,2008.75,1
USA (EOIR),Cabo Verde,2008.0833333333333,1
USA (EOIR),Cabo Verde,2008.25,2
Ireland,Cabo Verde,2009.8333333333333,3
Spain,Cabo Verde,2009.3333333333333,2
Switzerland,Cabo Verde,2009.0833333333333,1
Switzerland,Cabo Verde,2009.5833333333333,1
Switzerland,Cabo Verde,2009.8333333333333,1
Germany,Cabo Verde,2010.1666666666667,1
Greece,Cabo Verde,2010.1666666666667,1
Greece,Cabo Verde,2010.6666666666667,1
Ireland,Cabo Verde,2010.6666666666667,1
Norway,Cabo Verde,2010.75,1
Switzerland,Cabo Verde,2010.5833333333333,1
Switzerland,Cabo Verde,2010.6666666666667,1
USA (INS/DHS),Cabo Verde,2010.3333333333333,1
France,Cabo Verde,2011.0833333333333,4
France,Cabo Verde,2011.1666666666667,6
France,Cabo Verde,2011.3333333333333,2
France,Cabo Verde,2011.9166666666667,1
Norway,Cabo Verde,2011.6666666666667,1
Switzerland,Cabo Verde,2011.5,1
United Kingdom of Great Britain and Northern Ireland,Cabo Verde,2011.4166666666667,4
Canada,Cabo Verde,2012.0,1
Denmark,Cabo Verde,2012.75,1
France,Cabo Verde,2012.1666666666667,1
France,Cabo Verde,2012.25,2
France,Cabo Verde,2012.5833333333333,1
France,Cabo Verde,2012.6666666666667,1
France,Cabo Verde,2012.9166666666667,4
Greece,Cabo Verde,2012.8333333333333,2
Italy,Cabo Verde,2012.6666666666667,1
Netherlands,Cabo Verde,2012.3333333333333,1
Norway,Cabo Verde,2012.4166666666667,1
Switzerland,Cabo Verde,2012.0833333333333,1
Switzerland,Cabo Verde,2012.75,1
USA (EOIR),Cabo Verde,2012.0833333333333,1
USA (EOIR),Cabo Verde,2012.6666666666667,1
France,Cabo Verde,2013.0833333333333,1
France,Cabo Verde,2013.25,2
France,Cabo Verde,2013.4166666666667,1
France,Cabo Verde,2013.5833333333333,1
France,Cabo Verde,2013.6666666666667,1
France,Cabo Verde,2013.9166666666667,1
Netherlands,Cabo Verde,2013.0,1
Norway,Cabo Verde,2013.1666666666667,1
Spain,Cabo Verde,2013.9166666666667,1
Sweden,Cabo Verde,2013.25,1
Switzerland,Cabo Verde,2013.0,1
Switzerland,Cabo Verde,2013.3333333333333,1
Switzerland,Cabo Verde,2013.5833333333333,2
USA (INS/DHS),Cabo Verde,2013.1666666666667,1
USA (INS/DHS),Cabo Verde,2013.5,1
USA (INS/DHS),Cabo Verde,2013.9166666666667,1
Finland,Cabo Verde,2014.0,1
France,Cabo Verde,2014.0,1
France,Cabo Verde,2014.0833333333333,1
France,Cabo Verde,2014.25,2
France,Cabo Verde,2014.4166666666667,3
France,Cabo Verde,2014.6666666666667,1
Luxembourg,Cabo Verde,2014.5833333333333,1
Malta,Cabo Verde,2014.5,1
Portugal,Cabo Verde,2014.4166666666667,1
Sweden,Cabo Verde,2014.5,2
Sweden,Cabo Verde,2014.5833333333333,1
Switzerland,Cabo Verde,2014.4166666666667,1
Switzerland,Cabo Verde,2014.75,2
Switzerland,Cabo Verde,2014.8333333333333,1
USA (INS/DHS),Cabo Verde,2014.25,1
USA (INS/DHS),Cabo Verde,2014.5,1
USA (INS/DHS),Cabo Verde,2014.6666666666667,1
USA (INS/DHS),Cabo Verde,2014.75,1
USA (INS/DHS),Cabo Verde,2014.9166666666667,1
Germany,Cabo Verde,2015.6666666666667,1
Italy,Cabo Verde,2015.1666666666667,1
Italy,Cabo Verde,2015.3333333333333,2
Netherlands,Cabo Verde,2015.3333333333333,1
Sweden,Cabo Verde,2015.75,1
Sweden,Cabo Verde,2015.9166666666667,1
United Kingdom of Great Britain and Northern Ireland,Cabo Verde,2015.0833333333333,2
USA (INS/DHS),Cabo Verde,2015.4166666666667,1
USA (INS/DHS),Cabo Verde,2015.5,1
USA (INS/DHS),Cabo Verde,2015.5833333333333,1
USA (INS/DHS),Cabo Verde,2015.6666666666667,1
USA (INS/DHS),Cabo Verde,2015.75,1
Belgium,Cabo Verde,2017.0,0
Canada,Cabo Verde,2016.8333333333333,0
Cyprus,Cabo Verde,2017.25,0
Finland,Cabo Verde,2016.0,0
France,Cabo Verde,2016.0,0
France,Cabo Verde,2016.3333333333333,0
France,Cabo Verde,2016.5,0
France,Cabo Verde,2016.5833333333333,0
France,Cabo Verde,2016.75,0
France,Cabo Verde,2016.8333333333333,0
Germany,Cabo Verde,2016.0,0
Germany,Cabo Verde,2016.5833333333333,0
Italy,Cabo Verde,2016.0,0
Italy,Cabo Verde,2016.5,0
Netherlands,Cabo Verde,2017.0833333333333,0
Spain,Cabo Verde,2016.0833333333333,0
Spain,Cabo Verde,2016.8333333333333,16
Spain,Cabo Verde,2017.1666666666667,0
Switzerland,Cabo Verde,2017.0833333333333,0
USA (INS/DHS),Cabo Verde,2016.1666666666667,0
USA (INS/DHS),Cabo Verde,2016.25,0
USA (INS/DHS),Cabo Verde,2016.3333333333333,0
USA (INS/DHS),Cabo Verde,2016.5833333333333,0
USA (INS/DHS),Cabo Verde,2016.6666666666667,0
USA (INS/DHS),Cabo Verde,2017.3333333333333,0
Belgium,Central African Rep.,1999.0,1
Belgium,Central African Rep.,1999.0833333333333,1
Belgium,Central African Rep.,1999.3333333333333,1
Belgium,Central African Rep.,1999.5,1
Belgium,Central African Rep.,1999.5833333333333,1
Canada,Central African Rep.,1999.6666666666667,1
Canada,Central African Rep.,1999.75,1
Canada,Central African Rep.,1999.8333333333333,1
France,Central African Rep.,1999.0,4
France,Central African Rep.,1999.0833333333333,6
France,Central African Rep.,1999.1666666666667,11
France,Central African Rep.,1999.25,5
France,Central African Rep.,1999.3333333333333,12
France,Central African Rep.,1999.4166666666667,19
France,Central African Rep.,1999.5,27
